order_id,order_date,order_month,order_quarter,order_year,customer_id,customer_name_initial,customer_age_group,customer_gender,customer_occupation,customer_segment,customer_since_year,city,state,pincode,tier,platform,device_type,traffic_source,category,subcategory,brand,product_id,product_name_code,unit_price_inr,quantity,discount_percent,discount_amount_inr,selling_price_inr,gst_percent,gst_amount_inr,total_amount_inr,payment_method,emi_months,wallet_name,shipping_method,shipping_cost_inr,delivery_days,order_status,return_flag,return_reason,refund_amount_inr,warehouse,seller_id,seller_rating,product_rating,review_count,wishlist_flag
ORD000001,2023-10-17,Oct,Q4,2023,CUST38657,Q.T,45-54,F,Student,Premium,2023,Kolkata,Tamil Nadu,137824,Tier 1,Nykaa,Tablet,Social Media,Fashion,Men Clothing,W,PROD343962,W-MEN-259,60934.28,5,5,15233.57,289437.83,28,81042.59,370480.42,Debit Card,0,,Express,6.32,2,Shipped,0,,0,Bangalore WH,SEL4257,4.4,4.3,3436,0
ORD000002,2022-04-15,Apr,Q2,2022,CUST20328,J.U,18-24,M,Student,New,2020,Gurugram,Andhra Pradesh,758564,Tier 2,Snapdeal,App-Android,Referral,Fashion,Bags,H&M,PROD678856,H&M-BAG-954,72659.83,4,34,98817.37,191821.95,5,9591.1,201413.05,Cash on Delivery,0,,Same Day,0,7,Shipped,0,,0,Delhi WH,SEL4150,4.4,2.6,1866,1
ORD000003,2023-01-15,Jan,Q1,2023,CUST38785,K.Y,55-64,F,Salaried,New,2018,Bangalore,Madhya Pradesh,168655,Tier 1,Nykaa,App-Android,Paid Ad,Beauty & Health,Supplements,Patanjali,PROD817870,PAT-SUP-371,22107.5,4,24,21223.2,67206.8,18,12097.22,79304.02,Debit Card,0,,Express,0,9,Delivered,0,,0,Delhi WH,SEL1525,4.6,3.5,542,0
ORD000004,2023-07-29,Jul,Q3,2023,CUST24371,U.F,55-64,M,Business Owner,Regular,2016,Indore,Rajasthan,552666,Tier 2,Snapdeal,Tablet,Organic Search,Automotive,Care Products,JBM,PROD260265,JBM-CAR-400,89777.63,5,31,139155.33,309732.82,5,15486.64,325219.46,Cash on Delivery,0,,Overnight,0,1,Delivered,0,,0,Delhi WH,SEL7304,3.8,5.0,4334,1
ORD000005,2023-04-10,Apr,Q2,2023,CUST59009,F.R,25-34,M,Salaried,Inactive,2015,Pune,Bihar,666116,Tier 1,Flipkart,Mobile,Referral,Electronics,Cameras,OnePlus,PROD899550,ONE-CAM-597,26929.19,5,38,51165.46,83480.49,12,10017.66,93498.15,Credit Card,0,,Standard,0,3,Cancelled,0,,0,Hyderabad WH,SEL6310,4.0,2.8,2973,1
ORD000006,2022-05-09,May,Q2,2022,CUST77839,D.H,18-24,M,Business Owner,Regular,2016,Lucknow,Uttar Pradesh,345612,Tier 2,Myntra,Mobile,Organic Search,Home & Kitchen,Lighting,Bajaj,PROD573417,BAJ-LIG-980,83608.32,2,45,75247.49,91969.15,18,16554.45,108523.6,Wallet,0,,Same Day,0,7,Returned,1,,108418.32,Mumbai WH,SEL6539,3.0,3.9,4820,0
ORD000007,2023-06-11,Jun,Q2,2023,CUST63354,D.D,18-24,F,Business Owner,VIP,2020,Jaipur,Uttar Pradesh,561989,Tier 2,Flipkart,Desktop,Paid Ad,Sports,Cycling,Reebok,PROD299659,REE-CYC-294,79425.24,5,30,119137.86,277988.34,12,33358.6,311346.94,Debit Card,0,,Free Shipping,0,8,Shipped,0,,0,Chennai WH,SEL7939,3.8,4.7,443,0
ORD000008,2022-05-24,May,Q2,2022,CUST11934,Y.H,45-54,M,Homemaker,VIP,2021,Patna,Tamil Nadu,284389,Tier 3,Ajio,Tablet,Email,Toys & Games,Puzzles,Fisher Price,PROD197793,FIS-PUZ-813,77534.28,5,6,23260.28,364411.12,5,18220.56,382631.68,Credit Card,0,,Free Shipping,129.78,9,Delivered,0,,0,Kolkata WH,SEL8956,4.0,4.7,480,0
ORD000009,2023-05-14,May,Q2,2023,CUST76562,F.C,55-64,M,Retired,Regular,2016,Jaipur,Maharashtra,733939,Tier 2,Nykaa,App-iOS,Direct,Home & Kitchen,Decor,Hawkins,PROD184002,HAW-DEC-635,5238.16,5,30,7857.24,18333.56,12,2200.03,20533.59,UPI,0,,Same Day,0,1,Shipped,0,,0,Bangalore WH,SEL4853,3.8,4.9,4666,0
ORD000010,2022-07-29,Jul,Q3,2022,CUST19602,G.Q,25-34,F,Retired,VIP,2017,Kochi,Karnataka,388082,Tier 2,Amazon India,App-iOS,Social Media,Beauty & Health,Supplements,Patanjali,PROD663750,PAT-SUP-779,83617.75,1,0,0.0,83617.75,28,23412.97,107030.72,EMI,0,,Standard,123.61,10,Delivered,0,,0,Delhi WH,SEL6718,4.8,4.7,3027,1
